RK,NAME,Team,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
1,Joe Burrow,CIN,QB,17,460,652,70.6,"4,918",7.5,289.3,70,43,9,48,278,74.7,108.5
2,Jared Goff,DET,QB,17,390,539,72.4,"4,629",8.6,272.3,82,37,12,31,234,68.5,111.8
3,Baker Mayfield,TB,QB,17,407,570,71.4,"4,500",7.9,264.7,57,41,16,40,248,61.6,106.8
4,Geno Smith,SEA,QB,17,407,578,70.4,"4,320",7.5,254.1,71,21,15,50,338,53.9,93.2
5,Sam Darnold,MIN,QB,17,361,545,66.2,"4,319",7.9,254.1,97,35,12,48,335,60.5,102.5
6,Lamar Jackson,BAL,QB,17,316,474,66.7,"4,172",8.8,245.4,84,41,4,23,149,77.2,119.6
7,Patrick Mahomes,KC,QB,16,392,581,67.5,"3,928",6.8,245.5,54,26,11,36,239,67.7,93.5
8,Aaron Rodgers,NYJ,QB,17,368,584,63.0,"3,897",6.7,229.2,71,28,11,40,302,48.1,90.5
9,Justin Herbert,LAC,QB,17,332,504,65.9,"3,870",7.7,227.6,66,23,3,41,244,64.9,101.7
10,Brock Purdy,SF,QB,15,300,455,65.9,"3,864",8.5,257.6,76,20,12,31,156,67.9,96.1
11,Kyler Murray,ARI,QB,17,372,541,68.8,"3,851",7.1,226.5,60,21,11,30,220,66.6,93.5
12,Bo Nix,DEN,QB,17,376,567,66.3,"3,775",6.7,222.1,93,29,12,24,198,56.9,93.3
13,Matthew Stafford,LAR,QB,16,340,517,65.8,"3,762",7.3,235.1,69,20,8,28,213,64.7,93.7
14,Josh Allen,BUF,QB,17,307,483,63.6,"3,731",7.7,219.5,64,28,6,14,63,77.3,101.4
15,C.J. Stroud,HOU,QB,17,336,532,63.2,"3,727",7.0,219.2,67,20,12,52,408,49.9,87.0
16,Jayden Daniels,WSH,QB,17,331,480,69.0,"3,568",7.4,209.9,86,25,9,47,238,70.5,100.1
17,Caleb Williams,CHI,QB,17,351,562,62.5,"3,541",6.3,208.3,47,20,6,68,466,46.8,87.8
18,Kirk Cousins,ATL,QB,14,303,453,66.9,"3,508",7.7,250.6,60,18,16,28,201,50.4,88.6
19,Jordan Love,GB,QB,15,268,425,63.1,"3,389",8.0,225.9,70,25,11,14,95,69.2,96.7
20,Jalen Hurts,PHI,QB,15,248,361,68.7,"2,903",8.0,193.5,67,18,5,38,271,65.7,103.7
21,Tua Tagovailoa,MIA,QB,11,291,399,72.9,"2,867",7.2,260.6,80,19,7,21,154,60.4,101.4
22,Russell Wilson,PIT,QB,11,214,336,63.7,"2,482",7.4,225.6,46,16,5,33,219,51.3,95.6
23,Bryce Young,CAR,QB,14,234,384,60.9,"2,403",6.3,171.6,83,15,9,29,186,54.0,82.2
24,Drake Maye,NE,QB,13,225,338,66.6,"2,276",6.7,175.1,40,15,10,34,229,58.6,88.1
25,Derek Carr,NO,QB,10,189,279,67.7,"2,145",7.7,214.5,71,15,5,8,48,63.3,101.0
26,Jameis Winston,CLE,QB,12,181,296,61.1,"2,121",7.2,176.8,89,13,12,24,130,55.6,80.6
27,Will Levis,TEN,QB,12,190,301,63.1,"2,091",6.9,174.3,98,13,12,41,233,27.9,81.4
28,Daniel Jones,NYG,QB,10,216,341,63.3,"2,070",6.1,207.0,43,8,7,29,172,47.7,79.4
29,Trevor Lawrence,JAX,QB,10,172,284,60.6,"2,045",7.2,204.5,85,11,7,18,140,59.3,85.2
30,Gardner Minshew,LV,QB,10,203,306,66.3,"2,013",6.6,201.3,57,9,10,29,164,38.2,81.0
31,Dak Prescott,DAL,QB,8,185,286,64.7,"1,978",6.9,247.3,65,11,8,21,112,45.4,86.0
32,Cooper Rush,DAL,QB,12,187,308,60.7,"1,844",6.0,153.7,64,12,5,13,95,40.8,83.8
33,Anthony Richardson,IND,QB,11,126,264,47.7,"1,814",6.9,164.9,69,8,12,14,115,47.5,61.6
34,Joe Flacco,IND,QB,8,162,248,65.3,"1,761",7.1,220.1,65,12,7,18,123,53.5,90.5
35,Mac Jones,JAX,QB,10,171,262,65.3,"1,672",6.4,167.2,62,8,8,14,100,39.9,80.5
36,Aidan O'Connell,LV,QB,9,154,243,63.4,"1,612",6.6,179.1,58,8,4,10,82,49.4,86.7
37,Mason Rudolph,TEN,QB,8,146,228,64.0,"1,530",6.7,191.3,47,9,9,11,71,55.6,80.1
38,Spencer Rattler,NO,QB,7,130,228,57.0,"1,317",5.8,188.1,41,4,5,22,136,40.4,70.4
39,Deshaun Watson,CLE,QB,7,137,216,63.4,"1,148",5.3,164.0,35,5,3,33,191,23.2,79.0
40,Justin Fields,PIT,QB,10,106,161,65.8,"1,106",6.9,110.6,55,5,1,16,124,50.9,93.3
41,Drew Lock,NYG,QB,8,107,181,59.1,"1,071",5.9,133.9,59,6,5,12,88,46.1,75.5
42,Andy Dalton,CAR,QB,6,106,160,66.3,989,6.2,164.8,39,7,6,7,37,55.4,82.0
43,Tyler Huntley,MIA,QB,5,86,133,64.7,829,6.2,165.8,25,3,3,15,92,35.3,80.1
